time,open,high,low,close,volume
2018-09-25,985.57,988.16,980.58,985.11,53103760
2018-09-26,982.93,989.4,980.87,984.39,60311360
2018-09-27,985.28,991.56,984.36,989.45,51372600
2018-09-28,993.02,996.52,990.59,994.73,89440260
2018-10-01,994.76,1000.57,990.16,990.41,81255010
2018-10-02,988.7,992.51,984.58,987.88,66203650
2018-10-03,989.2,992.82,986.38,990.6,57100270
2018-10-04,990.49,993.66,989.13,993.61,74038630
2018-10-05,993.61,993.61,980.75,980.75,74563800
2018-10-08,979.27,979.27,968.9,970.28,71307590
2018-10-09,971.26,974.16,966.68,967.37,63817220
2018-10-10,967.37,970.36,961.79,966.27,63521280
2018-10-11,948.02,948.02,912.02,920.02,136876030
2018-10-12,915.87,943.49,909.04,943.49,78654890
2018-10-15,964.55,943.51,927.75,928.55,41833000
2018-10-16,928.46,939.41,927.1,939.41,42663640
2018-10-17,940.29,949.26,940.29,945.91,51482610
2018-10-18,944.29,945.08,936.58,937.54,45079700
2018-10-19,925.66,932.56,920.29,931.69,47143040
2018-10-22,933.98,937.98,922.75,922.75,41144780
2018-10-23,919.02,919.09,893.86,908.0,72791480
2018-10-24,908.0,909.35,896.5,896.5,48110900
2018-10-25,864.32,889.73,860.13,888.86,56983320
2018-10-26,897.21,897.21,881.06,881.06,45672420
2018-10-29,878.35,881.63,870.68,874.43,41645700
2018-10-30,869.28,881.65,868.91,874.06,37875270
2018-10-31,874.06,901.57,874.06,901.57,60484190
2018-11-01,874.06,901.57,874.06,887.72,39445040
2018-11-02,874.06,905.55,874.06,903.43,55629860
2018-11-05,903.24,904.83,895.05,904.83,33823220
2018-11-06,909.19,909.19,899.61,899.61,37075370
2018-11-07,901.59,903.01,892.88,899.25,45544000
2018-11-08,906.31,909.69,899.7,900.4,31118060
2018-11-09,900.14,900.14,885.65,885.65,38609740
2018-11-12,881.08,888.81,875.29,888.2,33821800
2018-11-13,875.57,879.29,874.7,875.73,19867610
2018-11-14,874.07,880.21,868.74,871.55,46154090
2018-11-15,871.78,874.78,859.86,864.98,42382820
2018-11-16,866.94,874.82,864.0,869.24,40658870
2018-11-19,869.24,888.76,869.24,888.76,39845470
2018-11-20,885.0,893.09,884.34,893.09,43543750
2018-11-21,883.31,897.1,881.68,897.1,38917250
2018-11-22,899.2,900.7,896.18,898.9,39224680
2018-11-23,897.57,899.3,889.78,890.62,37254570
2018-11-26,889.62,896.0,886.91,895.05,25039270
2018-11-27,896.93,903.45,893.98,895.3,32748380
2018-11-28,894.52,901.4,894.3,901.4,29503510
2018-11-29,901.48,910.43,897.58,897.58,40276100
2018-11-30,897.48,898.64,890.54,894.79,54625390
2018-12-03,896.5,921.72,896.5,921.72,63629050
2018-12-04,921.74,929.03,920.37,927.46,52507190
2018-12-05,927.39,928.83,915.9,925.68,61081880
2018-12-06,922.07,928.31,916.78,922.86,55213240
2018-12-07,924.82,933.24,924.12,929.59,51431880
2018-12-10,928.96,928.96,921.8,922.82,48776970
2018-12-11,922.58,925.35,915.91,922.34,43565480
2018-12-12,922.41,927.7,922.41,927.7,37560590
2018-12-13,928.21,935.32,928.17,928.9,46592070
2018-12-14,928.06,928.39,918.22,918.79,48405980
2018-12-17,914.02,914.02,901.41,901.41,47291390
2018-12-18,887.09,894.14,882.14,890.68,52306770
2018-12-19,889.93,891.69,878.1,882.79,52148460
2018-12-20,880.4,883.74,876.15,877.03,38045070
2018-12-21,870.42,876.3,867.19,873.09,45669710
2018-12-24,870.42,879.72,867.19,873.64,31104560
2018-12-25,870.42,879.72,850.52,865.69,51475970
2018-12-26,870.42,879.72,850.52,861.02,32704590
2018-12-27,870.42,879.72,850.52,865.45,35751060
2018-12-28,870.42,872.62,854.99,854.99,38254570
2019-01-02,870.42,872.62,853.59,855.66,34100240
2019-01-03,855.2,856.2,834.81,838.79,50053420
2019-01-04,836.6,842.02,822.32,840.17,37439840
2019-01-07,843.95,858.58,843.95,851.41,30671600
2019-01-08,852.51,852.91,841.88,845.43,27923540
2019-01-09,847.58,856.87,845.25,855.51,37200330
2019-01-10,855.57,859.9,853.07,857.95,32827000
2019-01-11,857.84,862.88,857.84,860.3,34662900
2019-01-14,859.83,860.02,854.88,859.42,32413030
2019-01-15,859.15,865.2,856.04,865.1,33588140
2019-01-16,865.1,868.38,861.18,864.29,33032340
2019-01-17,864.06,864.14,853.34,853.34,31743610
2019-01-18,855.5,859.95,853.73,854.79,28302650
2019-01-21,856.68,865.46,856.44,864.1,46174530
2019-01-22,864.45,865.76,859.17,859.17,36096510
2019-01-23,858.0,864.83,857.1,861.76,31265890
2019-01-24,861.04,866.35,861.04,865.52,35100380
2019-01-25,865.94,869.53,865.72,867.7,34851070
2019-01-28,867.6,871.56,865.95,868.76,24718870
2019-01-29,870.48,872.03,863.23,872.03,30044560
2019-01-30,871.18,871.72,867.92,869.16,33258320
2019-01-31,873.05,874.0,864.66,866.06,46946380
2019-02-01,867.61,867.98,859.38,859.81,41898560
2019-02-11,862.2,878.67,862.2,878.67,39935410
2019-02-12,881.7,890.14,879.32,888.33,62154530
2019-02-13,888.63,897.42,888.38,897.42,65644140
2019-02-14,897.52,904.11,897.52,900.12,50274750
2019-02-15,900.14,903.09,895.2,897.74,50970670
2019-02-18,900.6,904.93,899.76,904.93,51220040
2019-02-19,907.21,915.3,906.85,907.82,78092810
2019-02-20,907.34,913.51,906.75,911.8,53104240
2019-02-21,912.32,926.09,911.54,926.09,63245360
2019-02-22,920.91,934.35,920.78,929.5,74937950
2019-02-25,929.57,943.97,929.57,939.47,68474130
2019-02-26,937.14,941.41,923.16,929.51,58439700
2019-02-27,931.74,935.42,928.59,930.54,54958520
2019-02-28,930.49,930.49,904.98,904.98,71562220
2019-03-01,908.85,915.47,908.29,915.32,39636310
2019-03-04,916.27,929.28,916.27,928.42,51481790
2019-03-05,926.47,931.23,922.09,923.66,56228360
2019-03-06,923.66,926.31,916.89,923.58,36434210
2019-03-07,923.77,930.79,922.29,922.29,51391120
2019-03-08,922.16,922.16,913.43,914.74,41836570
2019-03-11,915.0,918.5,911.88,916.24,32014260
2019-03-12,921.02,929.86,920.12,929.86,59909910
2019-03-13,929.86,939.09,929.86,935.41,72240930
2019-03-14,935.41,937.72,931.36,935.62,46883920
2019-03-15,932.48,932.55,924.67,927.06,72931340
